                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 0.4921,                0.28248,                0.95055,                0.99868,                      1,                  0.995,                0.91018,                0.44285,                0.22962,                 1.0251,               0.000284,               0.000284,               0.000284
                    132,                0.44928,                0.28111,                0.96212,                0.99866,                      1,                  0.995,                0.90426,                0.44744,                0.21867,                   1.02,              0.0002708,              0.0002708,              0.0002708
                    133,                 0.4561,                0.27958,                0.95345,                0.99867,                      1,                  0.995,                0.90318,                0.45015,                0.20936,                 1.0164,              0.0002576,              0.0002576,              0.0002576
                    134,                0.44669,                 0.3071,                0.95177,                0.99867,                      1,                  0.995,                0.91587,                0.41374,                0.20749,                0.99563,              0.0002444,              0.0002444,              0.0002444
                    135,                 0.4671,                0.30316,                0.97655,                0.99869,                      1,                  0.995,                0.93038,                0.41786,                0.22707,                0.99788,              0.0002312,              0.0002312,              0.0002312
                    136,                0.44136,                0.29466,                0.91763,                0.99868,                      1,                  0.995,                  0.919,                0.42299,                 0.2268,                 1.0118,               0.000218,               0.000218,               0.000218
                    137,                0.47233,                0.27332,                0.96198,                0.99866,                      1,                  0.995,                0.91861,                0.43084,                0.23147,                 1.0207,              0.0002048,              0.0002048,              0.0002048
                    138,                 0.4956,                0.45902,                 0.9608,                0.99867,                      1,                  0.995,                0.91391,                   0.42,                0.22525,                 1.0079,              0.0001916,              0.0001916,              0.0001916
                    139,                0.43775,                0.27464,                0.94315,                0.99865,                      1,                  0.995,                0.90774,                0.45158,                0.21969,                 1.0238,              0.0001784,              0.0001784,              0.0001784
                    140,                0.51115,                 0.3437,                0.97594,                0.99867,                      1,                  0.995,                 0.9106,                0.44345,                0.21572,                 1.0191,              0.0001652,              0.0001652,              0.0001652
                    141,                0.37099,                0.22984,                0.87078,                0.99867,                      1,                  0.995,                0.91794,                0.42234,                  0.222,                 1.0053,               0.000152,               0.000152,               0.000152
                    142,                 0.3496,                0.22182,                0.86676,                0.99863,                      1,                  0.995,                0.91421,                 0.4046,                 0.2114,                0.99799,              0.0001388,              0.0001388,              0.0001388
                    143,                0.41704,                0.23935,                0.88765,                0.99852,                      1,                  0.995,                0.91584,                 0.4138,                0.22194,                 1.0132,              0.0001256,              0.0001256,              0.0001256
                    144,                0.35764,                0.21403,                0.85691,                0.99847,                      1,                  0.995,                0.91604,                0.39805,                 0.2195,                0.99712,              0.0001124,              0.0001124,              0.0001124
                    145,                0.37287,                0.22321,                0.88067,                 0.9985,                      1,                  0.995,                0.91874,                0.39395,                0.20842,                0.98675,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.35289,                0.20869,                0.86747,                0.99858,                      1,                  0.995,                0.92257,                0.38275,                0.20705,                0.97897,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.36109,                0.20526,                0.84256,                0.99863,                      1,                  0.995,                0.91754,                0.38432,                0.20551,                0.98329,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.35523,                0.21386,                0.85657,                0.99865,                      1,                  0.995,                0.91592,                0.38592,                0.20764,                 0.9865,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.32008,                0.19488,                0.85858,                0.99866,                      1,                  0.995,                0.91696,                0.38385,                0.20776,                0.98442,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.35503,                0.23408,                 0.8693,                0.99865,                      1,                  0.995,                0.91769,                0.38223,                0.21024,                 0.9817,               3.32e-05,               3.32e-05,               3.32e-05
